Video_no,Question_no,Trigger_value,Video_name,Position,Comments,Question,Correct,Wrong_1,Wrong_2,Wrong_3,,,,,,,
1,1,1,Stars,Pre,,How is it possible to determine the temperature of a star?,By its color,By its size,By its shape,All options are correct,,,,,,,
1,2,2,Stars,Pre,,What are stars made of?,Gas,Dust,Meteorites,All options are correct,,,,,,,
1,3,3,Stars,Pre,,Do all stars have the same size and shape?,"They have the same shape, but not the same size","They have the same size, but not the same shape",They all have the same size and shape,They all have different sizes and shapes,,,,,,,
1,4,4,Stars,Pre,,Mark the INCORRECT sentence.,The sun is the hottest star in the Universe,Most of the stars you see in the night sky are bigger and brighter than the sun.,"Stars die and go through many phases of life, much like organic beings.",Every single star has almost the exact same chemical composition.,,,,,,,
1,5,5,Stars,Pre,,How long does it take for a star to form?,Around  100 000 years,Around 1000 years,Around 10 000,Around 100 000 000 years,,,,,,,
1,6,6,Stars,Pre,,Is a shooting star a star?,It is a small meteor,It is a exploding star,It is a dead star,It is something not listed here,,,,,,,
1,7,7,Stars,Pre,,Which of the following is NOT the name of a constellation:,Hippopotames,Scorpius,Orion,Ursa Major,,,,,,,
1,8,8,Stars,Pre,,Mark the INCORRECT sentence.,There is only one type of star,"Stars consist of super hot gas, the composition of which is mostly hydrogen and helium",The sun is the closest star to Earth,"On a clear night, you can see stars that are over a quadrillion miles away",,,,,,,
1,9,9,Stars,Pre,,Light is a ….,Both a wave and a particle,Neither a wave nor a particle,Particle,Wave,,,,,,,
1,10,10,Stars,Pre,,Stars usually ?,Emit light,Get light from another object,"Star are defined by their shape and size, not by their light emittance",Absorb light and then emit it when the light source is gone,,,,,,,
1,11,11,Stars,Pre,,What holds  a star together,Its own gravity,The gravity of the sun,The gravity of the universe,It is not known,,,,,,,
2,12,12,Lightbulbs,Pre,,What kind of light bulbs are the most common in homes?,Incandescent bulbs,Fluorescent bulbs,Light Emitting Diodes,Halogen light bulbs,,,,,,,
2,13,13,Lightbulbs,Pre,,What kind of light bulb is the most efficient?,Light Emitting Diodes,Incandescent bulbs,Fluorescent bulbs,Other,,,,,,,
2,14,14,Lightbulbs,Pre,,What is the efficiency % of the incandescent light bulb?,Less than 10%,30 percent,50 percent,80 percent,,,,,,,
2,15,15,Lightbulbs,Pre,,Mark the INCORRECT sentence,Light bulbs are only ever used for the purpose of lighting the environment,Almost half of the electricity used by industry is for lighting,Some light bulbs contain gas inside of the bulbs,Prior to 1900 electric light bulbs did not have filaments,,,,,,,
2,16,16,Lightbulbs,Pre,,What percent of home electric bills is due to electric lights?,25 percent,90 percent,50 percent,5 percent,,,,,,,
2,17,17,Lightbulbs,Pre,,What is the electrical voltage used for most common US domestic appliances?,120 V,110 V,220 V,230 V,,,,,,,
2,18,18,Lightbulbs,Pre,,What is the average lifespan of an incandescent light bulb?,1200 hours,500 hours,2000 hours,3000 hours,,,,,,,
2,19,19,Lightbulbs,Pre,,Light bulbs produce light and….,Heat,Electrons,Protons,They only produce light,,,,,,,
2,20,20,Lightbulbs,Pre,,What is the metal piece inside of a light bulb called?,Filament,Filling,Electrode,Semiconducting crystal,,,,,,,
2,21,21,Lightbulbs,Pre,,Fill in the blanks: Light bulbs convert _______ energy into ________ energy.,electrical; light,electrical; chemical,kinetic; potential,All options are correct,,,,,,,
3,22,22,Immune,Pre,,Which of the following is NOT a function of the human body's immune system?,The immune system often causes one to contract the same illness a second time after warding off an infection.,The immune system attacks organisms and substances that invade body systems and cause disease.,"The immune system is made up of a network of cells, tissues, and organs that work together to protect the body.",The immune system is a host defense system comprising many biological structures and processes within an organism.,,,,,,,
3,23,23,Immune,Pre,,Which of the following cells could be found in the human immune system:,Dendritic,Antibodies,Hair cells,All options are correct,,,,,,,
3,24,24,Immune,Pre,,"An antigen is a molecule capable of inducing an immune response on the part of the host organism,though sometimes antigens can be part of the host itself. Mark the one which is not an antigen",Antibodies,Bacteria,Virus,Fungi,,,,,,,
3,25,25,Immune,Pre,,An autoimmune disorder occurs when a person's immune system mistakenly attacks their own body tissues.Which of the disorders below is NOT an autoimmune disorder?,Osteoporosis,Multiple sclerosis,Lupus,Asthma,,,,,,,
3,26,26,Immune,Pre,,Mark the INCORRECT sentence about inflammation,Inflammation is a synonym for infection,Inflammation is part of the complex biological response of body tissues to harmful stimuli,"Inflammation involves immune cells, blood vessels, and molecular mediators",The function of inflammation is to eliminate the initial cause of cell injury and clear out tissues damaged,,,,,,,
3,27,27,Immune,Pre,,Mark the INCORRECT sentence:,All germs are bad,Vaccines educate your immune system,Sleep deprivation can impact immunity,Your immune system can attack itself,,,,,,,
3,28,28,Immune,Pre,,Which of the following options could be a possible cause for inflammation?,All options are correct,"Physical injury, blunt or penetrating",Frostbite,Burn,,,,,,,
3,29,29,Immune,Pre,,Which of the names below does NOT correspond to a type of inflammation?,Hekelitis,Rhinitis,Appendicitis,Dermatitis,,,,,,,
3,30,30,Immune,Pre,,Mark the INCORRECT sentence about the immune system,Stress does not affect the way your immune system works,Your immune system can attack itself,Your immune system may suffer from lack of sleep,Disease symptoms are sometimes the result of your immune system doing its job,,,,,,,
4,31,31,Internet,Pre,,Mark the INCORRECT sentence.,30% of American adults do not use the Internet,People spend more time browsing the web on mobile devices rather than on desktop computers,"The majority of internet traffic is not generated by humans, but by bots and malware",There are treatment camps for internet addicts,,,,,,,
4,32,32,Internet,Pre,,What does HTTP mean?,HyperText Transfer Protocol,HyperText Transfer Process,HyperTool Transfer Protocol,None of the options are correct,,,,,,,
4,33,33,Internet,Pre,,What does HTML mean?,HyperText Markup Language,HyperText Markup Logistics,HyperTool Markup Language,None of the options are correct,,,,,,,
4,34,34,Internet,Pre,,What does URL mean?,Uniform Resource Locator,Uniform Resource Language,Uniform Rapid Locator,None of the options are correct,,,,,,,
4,35,35,Internet,Pre,,Which of the names below do NOT correspond to a browser?,Yahoo,Mozilla Firefox,Safari,Google Chrome,,,,,,,
4,36,36,Internet,Pre,,What country has the fastest internet connection in the world?,South Korea,United States of America,Finland,Norway,,,,,,,
4,37,37,Internet,Pre,,How many websites  are there on internet?,Around 1 billion,Around 100 million,Around 500 million,Around 10 billion,,,,,,,
4,38,38,Internet,Pre,,"In general, all of the following use IP addresses EXCEPT:",A personal computer that is not connected to the internet,A website,A server computer hosting a website,A personal computer used to access the Internet,,,,,,,
4,39,39,Internet,Pre,,When was the first tweet sent on twitter?,In the year 2006,In the year 2002,In the year 2010,In the year 1999,,,,,,,
5,40,40,Boys and Girls,Pre,,"Among the entire human population (all ages), what is the ratio of males to females?",101 males to 100 females,100 males to 105 females,100 males to 100 females,None of the options are correct,,,,,,,
5,41,41,Boys and Girls,Pre,,Which of the following effects determines the gender of human babies?,All options are correct,The stage of the mother’s ovulation cycle,Psychological stress,Whether or not the mother has had children previously,,,,,,,
5,42,42,Boys and Girls,Pre,,In which age group do males outnumber females the most?,At birth,All ages under 15 years old,15 - 64 years old,Over 65,,,,,,,
5,43,43,Boys and Girls,Pre,,Which of the following environmental factors listed below DOES NOT contribute to the ratio of boys to girls born worldwide?,Effects of sunlight exposure,Effects of chemical pollution,Effects of gestation environment,Effects of climate change,,,,,,,
5,44,44,Boys and Girls,Pre,,A baby born with the genetic code xy is,Male,Female,More information needed to determine the sex of the baby,Mother’s hormones are what determine ultimately the sex of the baby,,,,,,,
5,45,45,Boys and Girls,Pre,,Which of the social factors listed below contributes to ratio of boys to girls born worldwide?,Both options are correct,Sex selective abortion,Early marriage and parents' age,Both options are incorrect,,,,,,,
5,46,46,Boys and Girls,Pre,,How many live births are intersex (neither male nor female)?,0.1% - 1.7%,3% - 5%,6% - 8%,More than 8%,,,,,,,
5,47,47,Boys and Girls,Pre,,All of the following are common among countries with a more uneven gender balance except:,High rates of literacy,Rapid decline in fertility,Pressure for women to give birth to sons (often because of cultural preference),Families have widespread access to technology to selectively abort female fetuses,,,,,,,
1,48,48,Stars,Post,,What are stars?,Big hot round balls of plasma,Dead meteorites,Big hot round balls of dust,None of the options,11,17,6,1,,,
1,49,49,Stars,Post,,What happens when light from a distant source passes through a small opening?,All options are correct,The passing light picks up an imprint of that opening,Its waves interfere with each other,Its waves are bounced or bent slightly,45,55,10,1,,,
1,50,50,Stars,Post,,How does a hexagon leave its imprint?,Dashed six-pointed star,Dashed four-pointed star,Concentric rings,Series of dashed dashes,74,76,2,0,,,
1,51,51,Stars,Post,,Why do we see stars as pointy?,Because the imperfection of our eyes leave this imprint on light,Because stars are really pointy,Because they are bright objects in a dark night sky,None of the options are correct,112,135,23,0,,,
1,52,52,Stars,Post,,How does a double slit leave its imprint?,Series of dashed dashes,Concentric rings,Dashed four-pointed star,Dashed six-pointed star,76,82,6,1,,,
1,53,53,Stars,Post,,Mark the INCORRECT sentence.,Only humans see pointy stars,The right and left eye of a person sees a slightly different star-like smear,Any particular eye sees the same star shape for every star,None of the options are incorrect.,35,42,7,1,,,
1,54,54,Stars,Post,,__________ is the slight bending of light as it passes around the edge of an object.,Diffraction,Scattering,Reflection,Refraction,45,53,8,1,,,
1,55,55,Stars,Post,,Diffraction bends longer wavelength _____ light more than _____ light.,red; blue,blue; yellow,green; red,green; yellow,158,164,6,1,,,
1,56,56,Stars,Post,,What is the shape of stars in Hubble space telescope photos?,Four pointed,Concentric rings,Six pointed,Series of dashes,100,107,7,1,,,
1,57,57,Stars,Post,,What is the diffraction imprint of a circle?,Concentric rings,Dashed lines,4-pointed perpendicular lines,Dashed rings,69,71,2,0,,,
1,58,58,Stars,Post,,What causes “suture lines”?,Where the fibers that make up the eye’s lens meet,Health problems,Short-sightedness,All options are correct,112,119,7,1,,,
1,59,59,Stars,Post,,How do scientists test that individual suture lines are the cause of subject-specific diffraction patterns?,Shine a laser into people’s eyes,Measure the pattern of suture lines in an individual’s eyes,Compare left and right eye shapes,Photograph the iris patterns and compare to star shapes,124,127,3,0,7.024327185,8,
2,60,60,Lightbulbs,Post,,When was the incandescent light bulb created?,19th Century,18th Century,17th Century,20th Century,18,21,3,0,,,
2,61,61,Lightbulbs,Post,????,The bulb does all of the following EXCEPT:,Increases the brightness of the light emitted,Allows the filament to produce light more efficiently,Prevents gas from escaping from inside the bulb,Prevents oxygen from reaching the filament,0,0,0,0,,,
2,62,62,Lightbulbs,Post,,What is the role of the halogen gas in halogen bulbs?,All options are correct,Keep the light bulb clean,Prevent the wire from burning out,Helps redeposit atoms back onto the filament,45,57,12,1,,,
2,63,63,Lightbulbs,Post,,Which gas exists in halogen light bulbs?,Hydrogen bromide,Mercury chloride,Nitrogen bromide,Nitrogen fluoride,43,45,2,0,,,
2,64,64,Lightbulbs,Post,,Why don’t vapor lamps need a fluorescent coating?,Because they emit mainly visible light,Because they don’t use gas,Because they don’t have a bulb,All options are correct,,,0,0,,,
